No,Kategori Menu,Jumlah Varian Menu,Total Terjual (Qty),Total Omzet (Rp),Porsi Kontribusi (%)
1,Anggur,7,157,15065000,29.45
2,Cigarette,10,219,13505000,26.4
3,Lokal,3,12,5775000,11.29
4,Beer,5,67,4770000,9.33
5,Beverage,10,218,2248000,4.4
6,Single Malt,1,2,2100000,4.11
7,Spirit,2,3,1850000,3.62
8,Food,5,51,1685000,3.29
9,American Whisky,1,2,1500000,2.93
10,Cognac,1,1,1500000,2.93
11,Blended,1,1,600000,1.17
12,Vodca,1,1,550000,1.08
