No,ID Transaksi,Tgl Operasional,Waktu Masuk,Waktu Selesai,Ruangan,Durasi (Menit),Tarif Room/Jam,Biaya Room (Rp),Biaya F&B Riil (Rp),Biaya LC (Rp),Diskon Promo (Rp),Grand Total (Rp),Metode Bayar,Status Bayar,Kasir,ID Order F&B,Catatan Audit
64,TRX-20260805031233687-BE3E79B6,2026-08-04,2026-08-05 00:32:44,2026-08-05 03:12:32,Ruangan 9 - EXECUTIVE ,180,185000,555000,120000,750000,0,1425000,TRANSFER,PAID,Admin 1,FNB-20260805-020115-978,
65,TRX-20260805025136119-2E886C29,2026-08-04,2026-08-04 23:40:11,2026-08-05 02:51:32,Ruangan 4 - VIP 4,180,135000,405000,543000,1250000,0,2198000,TRANSFER,PAID,Admin 1,"FNB-20260805-003556-901,FNB-20260805-012750-347,FNB-20260805-013740-394",
66,TRX-20260805024617239-6C972EDE,2026-08-04,2026-08-05 00:40:51,2026-08-05 02:46:15,Ruangan 8 - VIP 8,120,135000,1000000,1032000,500000,0,2532000,TRANSFER,PAID,Admin 1,"FNB-20260805-004935-6,FNB-20260805-005513-209,FNB-20260805-005706-510,FNB-20260805-013052-685",
67,TRX-20260805022710510-2E05A481,2026-08-04,2026-08-05 00:56:04,2026-08-05 02:27:08,Ruangan 7 - VIP 7,120,135000,270000,242000,0,0,512000,TRANSFER,PAID,Admin 1,"FNB-20260805-011028-250,FNB-20260805-011200-454,FNB-20260805-014312-347,FNB-20260805-014400-553",
68,TRX-20260805011905514-205383D4,2026-08-04,2026-08-04 22:15:00,2026-08-05 01:19:04,Ruangan 5 - VIP 5,180,135000,405000,606000,625000,0,1636000,TRANSFER,PAID,Admin 1,"FNB-20260804-233700-325,FNB-20260804-235124-925",
69,TRX-20260805010312629-C72FE2FD,2026-08-04,,2026-08-05 01:03:07,F&B Umum,0,0,0,70000,0,0,70000,CASH,PAID,Admin 1,FNB-20260805-010307-547,
70,TRX-20260805001746742-81EE9A52,2026-08-04,2026-08-04 22:15:00,2026-08-05 00:17:42,Ruangan 9 - EXECUTIVE ,120,185000,2000000,125000,0,0,2125000,TRANSFER,PAID,Admin 1,FNB-20260804-233708-441,
71,TRX-20260804235823819-93E3607B,2026-08-04,2026-08-04 22:00:00,2026-08-04 23:58:21,Ruangan 3 - VIP 3,120,135000,270000,761000,125000,0,1156000,TRANSFER,PAID,Admin 1,FNB-20260804-233654-890,
72,TRX-20260804230726117-64D387F2,2026-08-04,,2026-08-04 23:07:22,F&B Umum,0,0,0,65000,0,0,65000,CASH,PAID,Admin 1,FNB-20260804-230722-186,
73,TRX-20260804225045416-8E8D2AF6,2026-08-04,2026-08-04 18:00:00,2026-08-04 22:50:43,Ruangan 8 - VIP 8,240,135000,540000,607000,2000000,0,3147000,TRANSFER,PAID,Kasir 1,FNB-20260804-225035-693,
74,TRX-20260804040744671-E386F252,2026-08-03,2026-08-04 01:31:31,2026-08-04 04:07:42,Ruangan 9 - EXECUTIVE ,180,185000,555000,3277000,1875000,0,5707000,TRANSFER,PAID,Kasir 1,"FNB-20260804-014138-583,FNB-20260804-015445-85,FNB-20260804-020134-440,FNB-20260804-020515-808,FNB-20260804-021432-687,FNB-20260804-022152-305,FNB-20260804-024929-413,FNB-20260804-025202-79,FNB-20260804-030205-468,FNB-20260804-033147-986,FNB-20260804-034555-970,FNB-20260804-040149-805",
75,TRX-20260804012836319-ED0184C5,2026-08-03,2026-08-03 22:33:59,2026-08-04 01:28:32,Ruangan 9 - EXECUTIVE ,180,185000,450000,1726000,1500000,0,3676000,TRANSFER,PAID,Kasir 1,"FNB-20260803-223740-466,FNB-20260803-225044-275,FNB-20260803-225400-330,FNB-20260803-231335-318,FNB-20260803-233247-190,FNB-20260803-234415-444,FNB-20260803-234458-310,FNB-20260803-234559-551,FNB-20260804-003550-773,FNB-20260804-005100-562",
76,TRX-20260804005313304-85004810,2026-08-03,2026-08-03 22:52:15,2026-08-04 00:53:10,Ruangan 1 - VIP 1,120,135000,270000,235000,250000,0,755000,TRANSFER,PAID,Kasir 1,FNB-20260803-225551-558,
77,TRX-20260804000217907-380BEFBA,2026-08-03,2026-08-03 22:12:01,2026-08-04 00:02:15,Ruangan 3 - VIP 3,180,135000,300000,860000,250000,0,1410000,CASH,PAID,Kasir 1,"FNB-20260803-221459-193,FNB-20260803-230645-507,FNB-20260803-233104-9,FNB-20260803-233657-666",
78,TRX-20260803224401205-5DAA7E8B,2026-08-03,,2026-08-03 22:43:59,F&B Umum,0,0,0,80000,0,0,80000,CASH,PAID,Admin 1,FNB-20260803-224359-912,
79,TRX-20260803213349804-7D62FA0C,2026-08-03,,2026-08-03 21:33:47,F&B Umum,0,0,0,75000,0,0,75000,CASH,PAID,Kasir 1,FNB-20260803-213347-795,
80,TRX-20260803193909507-2FDABBF8,2026-08-03,2026-08-03 19:34:39,2026-08-03 19:38:59,Ruangan 1 - VIP 1,180,135000,450000,750000,625000,0,1825000,,UNPAID,Kasir 1,FNB-20260803-193422-724,
81,TRX-20260803163745384-0E34036F,2026-08-03,2026-08-03 16:19:33,2026-08-03 16:37:43,Ruangan 1 - VIP 1,180,135000,300000,895000,750000,0,1945000,,UNPAID,Manager 1,"FNB-20260803-161908-889,FNB-20260803-162022-912",
82,TRX-20260803161358867-14B42BDD,2026-08-03,2026-08-03 16:09:06,2026-08-03 16:13:57,Ruangan 1 - VIP 1,180,135000,450000,0,750000,0,1200000,,UNPAID,Manager 1,,
83,TRX-20260803155553357-158FB4CD,2026-08-03,2026-08-03 15:52:50,2026-08-03 15:55:50,Ruangan 1 - VIP 1,10,135000,22500,70000,250000,0,342500,CASH,PAID,Manager 1,FNB-20260803-155444-556,
84,TRX-20260803024926524-D66D52A6,2026-08-02,2026-08-03 00:01:00,2026-08-03 02:49:25,Ruangan 9 - EXECUTIVE ,180,185000,555000,1233000,0,0,1788000,TRANSFER,PAID,Manager 1,"FNB-20260803-003009-711,FNB-20260803-003554-694,FNB-20260803-003756-6,FNB-20260803-011603-797,FNB-20260803-014738-276,FNB-20260803-020511-312,FNB-20260803-020548-420,FNB-20260803-021505-636",
85,TRX-20260803022104236-C2C935B3,2026-08-02,,2026-08-03 02:21:01,F&B Umum,0,0,0,105000,0,0,105000,CASH,PAID,Manager 1,FNB-20260803-022101-272,
86,TRX-20260803012309352-5177E642,2026-08-02,,2026-08-03 01:23:08,F&B Umum,0,0,0,448000,0,0,448000,CASH,PAID,Manager 1,FNB-20260803-011930-353,
87,TRX-20260803002445755-DFB76FEF,2026-08-02,,2026-08-03 00:24:42,F&B Umum,0,0,0,585000,0,0,585000,CASH,PAID,Manager 1,FNB-20260803-002442-494,
88,TRX-20260803000257259-130F4286,2026-08-02,2026-08-02 22:34:20,2026-08-03 00:02:55,Ruangan 1 - VIP 1,180,135000,300000,100000,0,0,400000,TRANSFER,PAID,Kasir 1,"FNB-20260802-224119-754,FNB-20260802-225339-284",
89,TRX-20260802235621587-700327A5,2026-08-02,2026-08-02 21:03:11,2026-08-02 23:56:20,Ruangan 9 - EXECUTIVE ,180,185000,450000,637000,0,0,1837000,TRANSFER,PAID,Kasir,"FNB-20260802-210525-843,FNB-20260802-210840-524,FNB-20260802-212924-346,FNB-20260802-214824-500,FNB-20260802-225419-359",Koreksi Forensik: F&B senilai Rp 637.000 sudah terbayar lunas dalam Grand Total Rp 1.837.000 (kolom fnb_total tercatat 0)
90,TRX-20260802232912587-0B55ABFA,2026-08-02,,2026-08-02 23:29:10,F&B Umum,0,0,0,163000,0,0,163000,CASH,PAID,Kasir 1,FNB-20260802-232910-100,
91,TRX-20260802054805364-F83E7F93,2026-08-01,2026-08-02 04:50:04,2026-08-02 05:48:03,Ruangan 8 - VIP 8,120,135000,270000,95000,0,0,365000,CASH,PAID,Kasir 1,"FNB-20260802-045109-179,FNB-20260802-054347-263",
92,TRX-20260802053538370-EA75C18D,2026-08-01,2026-08-02 04:13:41,2026-08-02 05:35:35,Ruangan 5 - VIP 5,120,135000,270000,93000,0,0,363000,CASH,PAID,Kasir 1,FNB-20260802-044400-251,
93,TRX-20260802050504900-270CDC43,2026-08-01,2026-08-02 02:24:34,2026-08-02 05:05:03,Ruangan 7 - VIP 7,180,135000,405000,526000,1125000,0,2056000,TRANSFER,PAID,Kasir 1,"FNB-20260802-023828-403,FNB-20260802-032101-378,FNB-20260802-044514-557",
