No,ID Transaksi,Tgl Operasional,Waktu Masuk,Waktu Selesai,Ruangan,Durasi (Menit),Tarif Room/Jam,Biaya Room (Rp),Biaya F&B Riil (Rp),Biaya LC (Rp),Diskon Promo (Rp),Grand Total (Rp),Metode Bayar,Status Bayar,Kasir,ID Order F&B,Catatan Audit
120,TRX-20260731212231899-209D0943,2026-07-31,,2026-07-31 21:22:29,F&B Umum,0,0,0,65000,0,0,65000,CASH,PAID,Kasir 1,FNB-20260731-212229-831,
121,TRX-20260731211147119-CBA35B53,2026-07-31,2026-07-31 21:11:45,2026-07-31 23:11:45,Ruangan 6 - VIP 6,120,135000,270000,551000,500000,0,1321000,CASH,PAID,Kasir 1,FNB-20260731-211149-335,
122,TRX-20260731210159854-FCAA9444,2026-07-31,,2026-07-31 21:01:56,F&B Umum,0,0,0,225000,0,0,225000,CASH,PAID,Kasir 1,FNB-20260731-210156-977,
123,TRX-20260731210006883-EF1BD694,2026-07-31,,2026-07-31 21:00:02,F&B Umum,0,0,0,70000,0,0,70000,CASH,PAID,Kasir 1,FNB-20260731-210002-364,
124,TRX-20260731204827769-58AF7518,2026-07-31,,2026-07-31 20:48:24,F&B Umum,0,0,0,290000,0,0,290000,CASH,PAID,Kasir 1,FNB-20260731-204824-939,
125,TRX-20260731204626859-5AD94FD3,2026-07-31,,2026-07-31 20:46:20,F&B Umum,0,0,0,290000,0,0,290000,CASH,PAID,Kasir 1,FNB-20260731-204620-206,
126,TRX-20260731204356852-526A5E44,2026-07-31,,2026-07-31 20:43:52,F&B Umum,0,0,0,540000,0,0,540000,CASH,PAID,Kasir 1,FNB-20260731-204352-67,
127,TRX-20260731204009525-00BA6662,2026-07-31,,2026-07-31 20:40:04,F&B Umum,0,0,0,150000,0,0,150000,CASH,PAID,Kasir 1,FNB-20260731-204004-379,
128,TRX-20260731203611730-7C4C55B4,2026-07-31,,2026-07-31 20:36:07,F&B Umum,0,0,0,100000,0,0,100000,CASH,PAID,Kasir 1,FNB-20260731-203607-341,
129,TRX-20260731202529323-CA7A6B4C,2026-07-31,,2026-07-31 20:25:26,F&B Umum,0,0,0,895000,0,0,895000,CASH,PAID,Kasir 1,FNB-20260731-202526-678,
130,TRX-20260731195730246-AA91F210,2026-07-31,2026-07-31 19:57:28,2026-07-31 22:57:28,Ruangan 1 - VIP 1,180,135000,300000,120000,360000,0,780000,TRANSFER,PAID,Kasir 1,FNB-20260731-195733-673,
